"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","02-Sep-2022","       1464.20","       1478.00","       1478.00","       1448.00","       1452.95","       1453.00","       1456.40","    5175653","          7537834806.45","     199570","    3067071","         59.26"
"INFY","EQ","05-Sep-2022","       1453.00","       1451.00","       1467.00","       1446.35","       1461.25","       1461.30","       1459.87","    3669352","          5356763254.65","     133172","    2344738","         63.90"
"INFY","EQ","06-Sep-2022","       1461.30","       1461.30","       1470.00","       1445.45","       1456.65","       1455.10","       1456.32","    3428442","          4992913121.30","     129028","    2036640","         59.40"
"INFY","EQ","07-Sep-2022","       1455.10","       1440.00","       1465.75","       1438.05","       1462.00","       1457.65","       1453.03","    3600574","          5231731491.10","     137578","    1812558","         50.34"
"INFY","EQ","08-Sep-2022","       1457.65","       1475.00","       1481.10","       1463.60","       1475.05","       1475.90","       1473.40","    4061475","          5984186689.80","     147100","    2350228","         57.87"
"INFY","EQ","09-Sep-2022","       1475.90","       1488.00","       1520.00","       1480.00","       1512.00","       1511.65","       1499.38","    4816910","          7222390189.10","     157963","    2629475","         54.59"
"INFY","EQ","12-Sep-2022","       1511.65","       1525.80","       1545.90","       1521.15","       1534.40","       1536.20","       1538.61","    5494819","          8454360840.70","     157389","    3472880","         63.20"
"INFY","EQ","13-Sep-2022","       1536.20","       1551.90","       1553.00","       1541.30","       1545.00","       1544.95","       1547.66","    4947158","          7656540764.10","     113762","    3303570","         66.78"
"INFY","EQ","14-Sep-2022","       1544.95","       1497.00","       1498.95","       1472.00","       1475.00","       1475.40","       1480.69","   14332197","         21221602847.55","     431674","    8873219","         61.91"
"INFY","EQ","15-Sep-2022","       1475.40","       1475.00","       1475.20","       1429.05","       1432.00","       1432.80","       1442.26","   12784100","         18438008294.00","     502967","    8079385","         63.20"
"INFY","EQ","16-Sep-2022","       1432.80","       1425.00","       1425.00","       1368.35","       1377.00","       1377.05","       1388.01","   20464045","         28404270084.50","     603746","   12404429","         60.62"
"INFY","EQ","19-Sep-2022","       1377.05","       1392.00","       1406.00","       1380.60","       1391.20","       1390.30","       1392.54","    6595241","          9184142465.45","     234193","    3643053","         55.24"
"INFY","EQ","20-Sep-2022","       1390.30","       1407.95","       1413.55","       1385.10","       1388.00","       1388.55","       1399.75","    7219797","         10105898809.35","     212073","    4573076","         63.34"
"INFY","EQ","21-Sep-2022","       1388.55","       1379.90","       1388.80","       1368.40","       1380.40","       1377.25","       1378.58","    7917054","         10914326538.00","     304433","    4918936","         62.13"
"INFY","EQ","22-Sep-2022","       1377.25","       1366.35","       1383.95","       1360.00","       1368.00","       1367.95","       1371.40","    9168498","         12573695052.50","     289781","    6369324","         69.47"
"INFY","EQ","23-Sep-2022","       1367.95","       1367.50","       1394.80","       1362.00","       1367.95","       1365.45","       1377.01","   10426200","         14357016787.70","     306005","    6033837","         57.87"
"INFY","EQ","26-Sep-2022","       1365.45","       1360.00","       1399.45","       1355.00","       1383.00","       1380.25","       1380.76","    9414587","         12999291293.20","     283295","    4801178","         51.00"
"INFY","EQ","27-Sep-2022","       1380.25","       1393.45","       1406.50","       1378.00","       1398.25","       1393.55","       1393.26","    8561254","         11928032958.80","     234333","    4635426","         65.03"
"INFY","EQ","28-Sep-2022","       1393.55","       1379.00","       1405.85","       1377.00","       1394.45","       1394.70","       1396.79","    7022098","          9808375442.85","     235532","    4802889","         68.40"
"INFY","EQ","29-Sep-2022","       1394.70","       1404.90","       1409.85","       1393.00","       1401.50","       1398.65","       1399.14","    6119965","          8562686107.45","     189378","    4347261","         71.03"
"INFY","EQ","30-Sep-2022","       1398.65","       1388.95","       1419.30","       1376.00","       1413.80","       1413.45","       1399.71","    8120130","         11365839916.45","     235225","    5072307","         62.47"
"INFY","BL","03-Oct-2022","       1616.65","       1413.45","       1413.45","       1413.45","       1413.45","       1413.45","       1413.45","    4255566","          6015029762.70","          1","-","-"
"INFY","EQ","03-Oct-2022","       1413.45","       1412.00","       1412.00","       1386.00","       1393.75","       1393.75","       1398.82","    4943169","          6914590029.80","     164361","    2890909","         58.48"
"INFY","EQ","04-Oct-2022","       1393.75","       1419.70","       1432.25","       1414.00","       1428.00","       1429.40","       1426.65","    6631341","          9460607735.95","     165041","    4239879","         63.94"
"INFY","EQ","06-Oct-2022","       1429.40","       1445.00","       1459.80","       1444.10","       1454.00","       1455.15","       1453.30","    6180672","          8982353045.35","     186110","    4257208","         68.88"
"INFY","EQ","07-Oct-2022","       1455.15","       1446.35","       1457.85","       1440.15","       1452.00","       1451.20","       1449.16","    3994466","          5788640009.75","     163553","    2504702","         62.70"
"INFY","EQ","10-Oct-2022","       1451.20","       1426.35","       1465.00","       1426.35","       1465.00","       1462.65","       1449.12","    5274677","          7643648786.60","     202762","    3428076","         64.99"
"INFY","EQ","11-Oct-2022","       1462.65","       1462.65","       1479.65","       1420.10","       1425.00","       1423.80","       1450.42","   12824774","         18601299291.80","     357001","    7613537","         59.37"
"INFY","EQ","12-Oct-2022","       1423.80","       1437.00","       1441.10","       1413.55","       1430.00","       1428.70","       1430.73","    5481467","          7842489842.80","     161320","    3246449","         59.23"
"INFY","EQ","13-Oct-2022","       1428.70","       1431.00","       1437.95","       1415.00","       1422.00","       1419.90","       1423.15","    4821514","          6861725912.15","     137929","    3000082","         62.22"
"INFY","EQ","14-Oct-2022","       1419.90","       1485.00","       1494.00","       1467.25","       1477.00","       1474.25","       1480.83","   14990688","         22198728911.80","     388421","    6427583","         42.88"
"INFY","EQ","17-Oct-2022","       1474.25","       1476.90","       1495.00","       1475.50","       1491.00","       1489.95","       1488.47","    4286396","          6380187690.05","     176595","    2150807","         50.18"
"INFY","EQ","18-Oct-2022","       1489.95","       1510.00","       1510.95","       1497.25","       1504.00","       1503.70","       1503.95","    4692004","          7056526673.60","     119660","    2634690","         56.15"
"INFY","EQ","19-Oct-2022","       1503.70","       1504.00","       1504.95","       1481.30","       1488.00","       1485.45","       1489.02","    3553171","          5290752776.40","     112770","    1890043","         53.19"
"INFY","EQ","20-Oct-2022","       1485.45","       1475.00","       1504.00","       1474.20","       1501.35","       1500.90","       1496.10","    4583939","          6858028457.00","     140049","    2901475","         63.30"
